OrderID	OrderType	Status	Symbol	Time	Comment	Volume	Price	TakeProfit	StopLoss	Profit	Swap	Commission	Balance	Equity	Margin	FreeMargin
244	sell	OPEN	USDCHF	11:01:2018 17:00:00	CSV Order #122	0.1	0.97381	0.97281	0.9743099999999999	0.0	0.0	0.0	9798.67	9798.57	100.0	9698.57
244	sell	CLOSE	USDCHF	11:01:2018 17:22:42	CSV Order #122 - CLOSED	0.1	0.97431	0.0	0.0	-5.4799999999999995	0.0	-0.35000000000000003	9793.54	9793.54	0.0	9793.54
246	sell	OPEN	USDCHF	11:01:2018 18:00:00	CSV Order #123	0.1	0.97473	0.97373	0.9752299999999999	0.0	0.0	0.0	9793.54	9793.44	100.0	9693.44
246	sell	CLOSE	USDCHF	11:01:2018 18:01:16	CSV Order #123 - CLOSED	0.1	0.97523	0.0	0.0	-5.4799999999999995	0.0	-0.35000000000000003	9788.41	9788.41	0.0	9788.41
248	sell	OPEN	USDCHF	11:01:2018 19:00:00	CSV Order #124	0.1	0.97488	0.97388	0.9753799999999999	0.0	0.0	0.0	9788.41	9788.0	100.0	9688.0
248	sell	CLOSE	USDCHF	11:01:2018 19:40:40	CSV Order #124 - CLOSED	0.1	0.97539	0.0	0.0	-5.58	0.0	-0.35000000000000003	9783.18	9783.18	0.0	9783.18
250	sell	OPEN	USDCHF	11:01:2018 20:00:00	CSV Order #125	0.1	0.97549	0.97449	0.9759899999999999	0.0	0.0	0.0	9783.18	9782.97	100.0	9682.97
250	sell	CLOSE	USDCHF	11:01:2018 20:22:58	CSV Order #125 - CLOSED	0.1	0.976	0.0	0.0	-5.58	0.0	-0.35000000000000003	9777.95	9777.95	0.0	9777.95
252	sell	OPEN	USDCHF	11:01:2018 21:00:00	CSV Order #126	0.1	0.97594	0.97494	0.97644	0.0	0.0	0.0	9777.95	9777.75	100.0	9677.75
253	sell	OPEN	USDCHF	11:01:2018 22:00:00	CSV Order #127	0.1	0.97594	0.97494	0.97644	0.0	0.0	0.0	9777.95	9777.55	200.0	9577.55
252	sell	CLOSE	USDCHF	11:01:2018 22:50:15	CSV Order #126 - CLOSED	0.1	0.97644	0.0	0.0	-5.47	0.0	-0.35000000000000003	9767.71	9767.71	0.0	9767.71
253	sell	CLOSE	USDCHF	11:01:2018 22:50:15	CSV Order #127 - CLOSED	0.1	0.97644	0.0	0.0	-5.47	0.0	-0.35000000000000003	9767.71	9767.71	0.0	9767.71
0	SYSTEM	AUTO_CLOSE	USDCHF	11:01:2018 23:00:00	Auto-closed 0 positions at 23:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9767.71	9767.71	0.0	9767.71
256	sell	OPEN	USDCHF	11:01:2018 23:00:00	CSV Order #128	0.1	0.97596	0.97496	0.97646	0.0	0.0	0.0	9767.71	9767.1	100.0	9667.1
256	sell	CLOSE	USDCHF	12:01:2018 00:14:00	CSV Order #128 - CLOSED	0.1	0.97647	0.0	0.0	-5.669999999999999	-0.1	-0.35000000000000003	9762.39	9762.39	0.0	9762.39
258	sell	OPEN	USDCHF	12:01:2018 08:00:00	CSV Order #129	0.1	0.97685	0.97585	0.9773499999999999	0.0	0.0	0.0	9762.39	9761.88	100.0	9661.88
259	sell	OPEN	USDCHF	12:01:2018 09:00:00	CSV Order #130	0.1	0.97601	0.97501	0.97651	0.0	0.0	0.0	9762.39	9770.18	200.0	9570.18
258	sell	CLOSE	USDCHF	12:01:2018 09:06:15	CSV Order #129 - CLOSED	0.1	0.97585	0.0	0.0	9.9	0.0	-0.35000000000000003	9772.64	9774.38	100.0	9674.38
259	sell	CLOSE	USDCHF	12:01:2018 09:15:17	CSV Order #130 - CLOSED	0.1	0.97499	0.0	0.0	10.110000000000001	0.0	-0.35000000000000003	9783.1	9783.1	0.0	9783.1
262	sell	OPEN	USDCHF	12:01:2018 10:00:00	CSV Order #131	0.1	0.97545	0.97445	0.97595	0.0	0.0	0.0	9783.1	9783.0	100.0	9683.0
262	sell	CLOSE	USDCHF	12:01:2018 10:01:32	CSV Order #131 - CLOSED	0.1	0.97597	0.0	0.0	-5.68	0.0	-0.35000000000000003	9777.77	9777.77	0.0	9777.77
264	sell	OPEN	USDCHF	12:01:2018 11:00:00	CSV Order #132	0.1	0.97303	0.97203	0.9735299999999999	0.0	0.0	0.0	9777.77	9777.56	100.0	9677.56
264	sell	CLOSE	USDCHF	12:01:2018 11:02:30	CSV Order #132 - CLOSED	0.1	0.97197	0.0	0.0	10.56	0.0	-0.35000000000000003	9788.68	9788.68	0.0	9788.68
266	sell	OPEN	USDCHF	12:01:2018 12:00:00	CSV Order #133	0.1	0.97167	0.97067	0.97217	0.0	0.0	0.0	9788.68	9788.47	100.0	9688.47
266	sell	CLOSE	USDCHF	12:01:2018 12:36:19	CSV Order #133 - CLOSED	0.1	0.97067	0.0	0.0	9.950000000000001	0.0	-0.35000000000000003	9798.98	9798.98	0.0	9798.98
268	sell	OPEN	USDCHF	12:01:2018 13:00:00	CSV Order #134	0.1	0.97118	0.97018	0.97168	0.0	0.0	0.0	9798.98	9798.57	100.0	9698.57
268	sell	CLOSE	USDCHF	12:01:2018 13:25:06	CSV Order #134 - CLOSED	0.1	0.97018	0.0	0.0	9.96	0.0	-0.35000000000000003	9809.29	9809.29	0.0	9809.29
270	sell	OPEN	USDCHF	12:01:2018 14:00:00	CSV Order #135	0.1	0.97089	0.96989	0.97139	0.0	0.0	0.0	9809.29	9808.98	100.0	9708.98
270	sell	CLOSE	USDCHF	12:01:2018 14:13:39	CSV Order #135 - CLOSED	0.1	0.97139	0.0	0.0	-5.5	0.0	-0.35000000000000003	9804.14	9804.14	0.0	9804.14
272	sell	OPEN	USDCHF	12:01:2018 15:00:00	CSV Order #136	0.1	0.9713	0.9703	0.9718	0.0	0.0	0.0	9804.14	9803.83	100.0	9703.83
